Age My	Age ky before 2015	δ18O	Tdo	Ts	T anomaly
0.2944	294.5	4.25	-0.34	11.57	-2.43
0.2953	295.4	4.04	-0.37	11.51	-2.49
0.2963	296.4	4.09	-0.45	11.36	-2.64
0.2975	297.6	4.19	-0.49	11.26	-2.74
0.2983	298.4	4.61	-0.50	11.24	-2.76
0.2995	299.6	4.41	-0.45	11.35	-2.65
0.3008	300.9	4.08	-0.50	11.26	-2.74
0.3018	301.9	3.90	-0.34	11.56	-2.44
0.3028	302.9	4.35	-0.17	11.9	-2.1
0.3039	304.0	4.09	-0.11	12.02	-1.98
0.3052	305.3	3.83	-0.05	12.16	-1.84
0.3062	306.3	3.88	0.07	12.4	-1.6
0.3075	307.6	3.67	0.23	12.7	-1.3
0.3089	309.0	3.94	0.38	13.02	-0.98
0.3101	310.2	3.57	0.42	13.09	-0.91
0.3115	311.6	3.29	0.47	13.19	-0.810000000000001
0.3131	313.2	3.75	0.44	13.13	-0.869999999999999
0.3142	314.3	3.51	0.39	13.03	-0.970000000000001
0.3154	315.5	4.04	0.30	12.85	-1.15
0.317	317.1	3.74	0.49	13.23	-0.77
0.318	318.1	3.60	0.30	12.84	-1.16
0.3188	318.9	3.09	0.40	13.04	-0.960000000000001
0.32	320.1	4.18	0.54	13.33	-0.67
0.3212	321.3	3.70	0.55	13.35	-0.65
0.3221	322.2	3.25	0.60	13.45	-0.550000000000001
0.3231	323.2	3.56	0.93	14.11	0.109999999999999
0.3245	324.6	2.93	0.96	14.18	0.18
0.3257	325.8	3.05	0.92	14.1	0.1
0.3267	326.8	3.58	1.03	14.31	0.31
0.328	328.1	3.39	0.91	14.07	0.07
0.3294	329.5	3.24	0.81	13.86	-0.140000000000001
0.3306	330.7	3.29	0.89	14.02	0.02
0.3318	331.9	3.41	0.84	13.94	-0.060000000000001
0.333	333.1	3.31	0.67	13.6	-0.4
0.334	334.1	3.53	0.53	13.32	-0.68
0.3353	335.4	3.82	0.42	13.08	-0.92
0.3367	336.8	3.77	0.19	12.64	-1.36
0.3379	338.0	3.81	-0.01	12.22	-1.78
0.339	339.1	4.07	-0.29	11.66	-2.34
0.34	340.1	4.24	-0.52	11.22	-2.78
0.3409	341.0	4.77	-0.82	10.61	-3.39
0.3417	341.8	4.53	-0.70	10.86	-3.14
0.3425	342.6	4.85	-0.79	10.67	-3.33
0.3432	343.3	3.64	-0.72	10.82	-3.18
0.3442	344.3	4.56	-0.79	10.67	-3.33
0.345	345.1	4.52	-0.66	10.93	-3.07
0.3458	345.9	4.79	-0.94	10.37	-3.63
0.3468	346.9	4.40	-0.92	10.41	-3.59
0.3478	347.9	4.60	-0.81	10.63	-3.37
0.3487	348.8	4.49	-0.79	10.68	-3.32
0.3497	349.8	4.14	-0.80	10.65	-3.35
0.3507	350.8	4.71	-0.86	10.54	-3.46
0.3515	351.6	4.45	-0.81	10.63	-3.37
0.3524	352.5	4.79	-0.88	10.5	-3.5
0.3533	353.4	4.33	-0.74	10.77	-3.23
0.3541	354.2	4.37	-0.82	10.61	-3.39
0.3547	354.8	4.25	-0.66	10.94	-3.06
0.3553	355.4	4.72	-0.68	10.89	-3.11
0.356	356.1	4.23	-0.60	11.04	-2.96
0.3564	356.5	4.40	-0.71	10.83	-3.17
0.3572	357.3	4.12	-0.53	11.19	-2.81
0.358	358.1	4.61	-0.49	11.26	-2.74
0.3588	358.9	4.10	-0.48	11.3	-2.7
0.3594	359.5	4.11	-0.57	11.11	-2.89
0.3604	360.5	4.34	-0.49	11.26	-2.74
0.361	361.1	4.44	-0.43	11.39	-2.61
0.3618	361.9	4.35	-0.46	11.33	-2.67
0.3628	362.9	3.88	-0.38	11.48	-2.52
0.3638	363.9	4.21	-0.37	11.51	-2.49
0.3646	364.7	4.09	-0.40	11.45	-2.55
0.3652	365.3	4.39	-0.46	11.33	-2.67
0.3658	365.9	4.46	-0.51	11.23	-2.77
0.3664	366.5	4.07	-0.46	11.32	-2.68
0.367	367.1	4.39	-0.38	11.48	-2.52
0.3675	367.6	3.93	-0.33	11.59	-2.41
0.3686	368.7	4.12	-0.41	11.43	-2.57
0.3696	369.7	4.27	-0.30	11.65	-2.35
0.3704	370.5	4.34	-0.35	11.56	-2.44
0.3715	371.6	4.03	-0.38	11.5	-2.5
0.3728	372.9	4.08	-0.34	11.57	-2.43
0.3737	373.8	4.22	-0.25	11.74	-2.26
0.3747	374.8	4.14	-0.32	11.62	-2.38
0.3759	376.0	4.05	-0.30	11.65	-2.35
0.3772	377.3	4.25	-0.30	11.66	-2.34
0.3782	378.3	4.03	-0.26	11.73	-2.27
0.3794	379.5	4.20	-0.24	11.76	-2.24
0.3806	380.7	4.02	-0.16	11.93	-2.07
0.3818	381.9	3.99	-0.13	12	-2
0.3826	382.7	3.96	-0.07	12.1	-1.9
0.3839	384.0	3.92	-0.03	12.19	-1.81
0.3851	385.2	4.02	-0.03	12.2	-1.8
0.3863	386.4	3.88	0.01	12.26	-1.74
0.3873	387.4	3.97	0.13	12.52	-1.48
0.3885	388.6	3.85	0.21	12.66	-1.34
0.3896	389.7	3.48	0.22	12.68	-1.32
0.3906	390.7	3.78	0.28	12.82	-1.18
0.3918	391.9	3.84	0.38	13	-1
0.3932	393.3	3.74	0.40	13.04	-0.960000000000001
0.3945	394.6	3.54	0.46	13.17	-0.83
0.3957	395.8	3.41	0.59	13.42	-0.58
0.3967	396.8	3.56	0.61	13.47	-0.529999999999999
0.3974	397.5	3.41	0.68	13.62	-0.380000000000001
0.3982	398.3	3.66	0.75	13.75	-0.25
0.3991	399.2	3.29	0.90	14.05	0.050000000000001
0.3997	399.8	3.19	0.95	14.15	0.15
0.4005	400.6	3.04	1.36	14.98	0.98
0.4014	401.5	3.24	1.42	15.09	1.09
0.4022	402.3	2.81	1.44	15.14	1.14
0.4029	403.0	3.18	1.29	14.83	0.83
0.4037	403.8	3.15	1.47	15.2	1.2
0.4046	404.7	3.33	1.30	14.85	0.85
0.4051	405.2	2.89	1.04	14.32	0.32
0.4058	405.9	3.14	0.88	14	0
0.4065	406.6	3.67	0.90	14.05	0.050000000000001
0.4073	407.4	3.64	0.68	13.62	-0.380000000000001
0.4081	408.2	3.25	0.62	13.5	-0.5
0.4089	409.0	3.63	0.72	13.69	-0.31
0.4095	409.6	3.34	0.67	13.59	-0.41
0.4103	410.4	3.34	0.72	13.68	-0.32
0.4109	411.0	3.81	0.80	13.85	-0.15
0.4114	411.5	3.10	0.38	13.01	-0.99
0.412	412.1	3.35	0.41	13.06	-0.94
0.4131	413.2	4.77	0.51	13.28	-0.720000000000001
0.4139	414.0	3.24	0.03	12.31	-1.69
0.4151	415.2	3.45	-0.40	11.45	-2.55
0.4162	416.3	4.74	0.11	12.47	-1.53
0.4174	417.5	4.82	-0.07	12.1	-1.9
0.4182	418.3	3.03	-0.52	11.22	-2.78
0.4189	419.0	3.87	-0.43	11.38	-2.62
0.4194	419.5	4.96	-0.06	12.13	-1.87
0.4204	420.5	4.46	-0.19	11.87	-2.13
0.4212	421.3	3.55	-0.12	12.01	-1.99
0.422	422.1	3.47	0.13	12.5	-1.5
0.423	423.1	3.62	0.34	12.93	-1.07
